,title,Pandemic Legacy: Season 1,Through the Ages: A New Story of Civilization,Twilight Struggle,Gloomhaven,Star Wars: Rebellion,Terra Mystica,Terraforming Mars,Scythe,7 Wonders Duel,The Castles of Burgundy,Caverna: The Cave Farmers,Puerto Rico,War of the Ring (Second Edition),Great Western Trail,Agricola,Mage Knight Board Game,Blood Rage,Through the Ages: A Story of Civilization,Arkham Horror: The Card Game,Mansions of Madness: Second Edition,Star Wars: Imperial Assault,Mechs vs. Minions,Power Grid,Eclipse,Orléans,Food Chain Magnate,Robinson Crusoe: Adventures on the Cursed Island,Viticulture Essential Edition,Concordia,Brass: Lancashire,Le Havre,Android: Netrunner,Tzolk'in: The Mayan Calendar,A Feast for Odin,T.I.M.E Stories,Codenames,7 Wonders,Keyflower,The Voyages of Marco Polo,Caylus,Twilight Imperium (Third Edition),Eldritch Horror,Race for the Galaxy,Lords of Waterdeep,Dominant Species,Patchwork,Five Tribes,Dead of Winter: A Crossroads Game,Roll for the Galaxy,El Grande,Dominion: Intrigue,Star Wars: X-Wing Miniatures Game,Fields of Arle,Battlestar Galactica,Clank!: A Deck-Building Adventure,Mombasa,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Dominion,The 7th Continent,Russian Railroads,Trajan,Tigris & Euphrates,Troyes,Pandemic,Santorini,Crokinole,Descent: Journeys in the Dark (Second Edition),Castles of Mad King Ludwig,Kemet,The Gallerist,War of the Ring (first edition),Stone Age,The Resistance: Avalon,Alchemists,Arcadia Quest,A Game of Thrones: The Board Game (Second Edition),Legendary Encounters: An Alien Deck Building Game,Ora et Labora,Star Realms,Forbidden Stars,Nations,Suburbia,Commands & Colors: Ancients,Railways of the World,Ticket to Ride: Europe,Chaos in the Old World,Istanbul,Paths of Glory,Cosmic Encounter,Combat Commander: Europe,Captain Sonar,Goa,Steam,The Lord of the Rings: The Card Game,Jaipur,La Granja,Age of Steam,Hansa Teutonica,Splendor,Zombicide: Black Plague
67,Castles of Mad King Ludwig,0.0,0.0,0.0,0.0,0.0,0.0488997555012225,0.0,0.0,0.0,0.0,0.0,0.1466992665036675,0.0,0.0,0.097799511002445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488997555012225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097799511002445,0.0,0.0,0.0,0.0,0.0488997555012225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488997555012225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6894865525672373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4889975550122249,22.78728606356968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.254278728606357,0.0488997555012225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Kemet,0.0,0.0,0.0683526999316473,0.0,0.0,0.0683526999316473,0.0,0.2734107997265892,0.0,0.0,0.0,0.1367053998632946,0.0,0.0,0.0683526999316473,0.0,2.050580997949419,0.0,0.0,0.0,0.0,0.0,0.2050580997949419,0.3417634996582365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0683526999316473,0.0,0.0,0.0,0.0,0.0,0.0683526999316473,0.0,0.0,0.0,0.0,0.0,0.0683526999316473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.278195488721805,0.0,0.0,0.0683526999316473,0.0,0.0,0.0683526999316473,0.0,0.0,0.0,0.0,0.1367053998632946,0.7518796992481203,0.0683526999316473,0.0,0.0,0.0,1.0936431989063569,0.0,0.0,0.1367053998632946,0.0,0.0,0.2734107997265892,0.0683526999316473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,The Gallerist,0.0,0.0,0.0,0.0,0.0,0.1529051987767584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3058103975535168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1529051987767584,0.1529051987767584,0.0,0.1529051987767584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1529051987767584,0.0,0.0,0.0,0.0,0.0,0.0,0.1529051987767584,0.1529051987767584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3058103975535168,0.0,0.0,0.0,0.0,0.0,0.0,0.3058103975535168,0.0,0.0,0.0,0.0,0.0,0.0,7.033639143730887,0.0,0.0,0.0,0.1529051987767584,0.0,0.0,0.0,0.0,0.0,0.0,0.1529051987767584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90519877675841,0.0,0.0,0.0,0.3058103975535168,0.0,0.1529051987767584,0.0,0.0
70,War of the Ring (first edition),0.0,0.0,0.5506141465480728,0.0,0.08470986869970351,0.0,0.0,0.0,0.0,0.0,0.0,0.16941973739940702,0.0,0.0,0.042354934349851756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042354934349851756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042354934349851756,0.0,0.0,0.0,0.0,0.0,0.0,0.042354934349851756,0.0,0.0,0.0,0.042354934349851756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042354934349851756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9741634900465904,0.0,0.0,0.0,0.0,0.0,0.0,0.042354934349851756,0.0,0.0,0.0,0.3811944091486658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Stone Age,0.0,0.0,0.0,0.0,0.0,0.018281535648994516,0.0,0.0,0.0,0.0,0.0,0.6946983546617916,0.0,0.0,5.082266910420476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12797074954296161,0.0,0.0,0.0,0.0,0.0,0.018281535648994516,0.0,0.3656307129798903,0.0,0.0,0.0,0.0,0.0,0.16453382084095064,0.0,0.0,2.2851919561243146,0.0,0.0,0.054844606946983544,1.2248628884826325,0.03656307129798903,0.0,0.0,0.0,0.0,0.018281535648994516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12797074954296161,0.0,0.018281535648994516,0.03656307129798903,0.0,0.10968921389396709,0.018281535648994516,0.0,0.0,0.0,0.0,0.018281535648994516,0.0,0.0,7.568555758683729,0.0,0.018281535648994516,0.0,0.0,0.0,0.03656307129798903,0.0,0.0,0.14625228519195613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968921389396709,0.0,0.0,0.018281535648994516,0.0,0.0,0.0,0.0,0.0
72,The Resistance: Avalon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044464206313917294,0.0,0.0,0.0,0.0,0.0,0.0,0.044464206313917294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08892841262783459,0.044464206313917294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5335704757670076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044464206313917294,0.889284126278346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2223210315695865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333926189417519,0.0,0.044464206313917294,0.2223210315695865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Alchemists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27739251040221913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06934812760055478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06934812760055478,0.06934812760055478,0.0,0.0,0.06934812760055478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06934812760055478,0.0,0.06934812760055478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.923717059639389,0.0,0.0,0.0,0.0,0.0,0.0,0.6934812760055479,0.06934812760055478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5547850208044383,0.0,0.0,0.0,0.0,0.0,0.06934812760055478,0.0,0.0
74,Arcadia Quest,0.0,0.0,0.0,0.12360939431396786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12360939431396786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12360939431396786,4.573547589616811,0.0,0.0,0.0,0.0,0.0,0.6180469715698393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24721878862793573,0.0,0.0,0.865265760197775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,A Game of Thrones: The Board Game (Second Edition),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04214075010535188,0.0,0.0,0.0,0.0,0.0,0.0,0.04214075010535188,0.0,0.1264222503160556,0.0,0.0,0.0,0.0,0.0,0.0,0.337126000842815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08428150021070376,0.0,0.0,0.04214075010535188,0.0,0.0,0.0,0.0,0.21070375052675938,0.0,0.0,0.0,0.0,0.08428150021070376,0.0,0.0,0.0,0.04214075010535188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67425200168563,0.0,0.0,0.0,0.0,0.0,0.0,0.1264222503160556,0.0,0.0,0.0,0.08428150021070376,0.1685630004214075,0.0,0.0,0.0,0.0,0.1264222503160556,0.0,0.0,0.1685630004214075,0.0,0.0,0.42140750105351876,0.0,0.0,0.0,0.0,0.0,0.0,0.04214075010535188,0.0
76,Legendary Encounters: An Alien Deck Building Game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5582034830430798,0.0,0.0,0.09165902841429881,0.0,0.0,0.458295142071494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18331805682859761,0.0,0.916590284142988,0.0,0.27497708524289644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458295142071494,0.18331805682859761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
